Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_2114_15;12247;12518;2.2128;12518;2.2128;12506;2.1148;12482;1.9188;12537;2.3679
XML100_2114_16;12019;12294;2.288;12294;2.288;12268;2.0717;12299;2.3296;12283;2.1965
XML100_2114_17;10706;10968;2.4472;10968;2.4472;10901;1.8214;10943;2.2137;10849;1.3357
XML100_2114_18;11277;11619;3.0327;11619;3.0327;11579;2.678;11546;2.3854;11569;2.5893
XML100_2114_19;11448;11542;0.8211;11542;0.8211;11524;0.6639;11521;0.6377;11509;0.5328
XML100_2114_20;11125;11318;1.7348;11318;1.7348;11364;2.1483;11363;2.1393;11318;1.7348
XML100_2114_21;12017;12321;2.5297;12321;2.5297;12352;2.7877;12359;2.846;12335;2.6463
XML100_2114_22;10600;10656;0.5283;10656;0.5283;10635;0.3302;10611;0.1038;10611;0.1038
XML100_2114_23;11582;11672;0.7771;11672;0.7771;11681;0.8548;11731;1.2865;11640;0.5008
XML100_2114_24;10716;10914;1.8477;10914;1.8477;10827;1.0358;10956;2.2396;10983;2.4916
XML100_2114_25;10429;10512;0.7959;10512;0.7959;10500;0.6808;10556;1.2178;10495;0.6329
XML100_2114_26;10773;11040;2.4784;11040;2.4784;11067;2.729;11075;2.8033;11007;2.1721
XML100_2115_23;9729;10067;3.4741;10067;3.4741;10084;3.6489;10040;3.1966;10008;2.8677
XML100_2116_23;8093;8302;2.5825;8302;2.5825;8329;2.9161;8307;2.6443;8274;2.2365
XML100_2143_08;12488;12532;0.3523;12532;0.3523;12532;0.3523;12584;0.7687;12532;0.3523
XML100_2143_25;12590;12944;2.8118;12944;2.8118;13025;3.4551;12915;2.5814;12979;3.0898
XML100_2213_04;8357;8592;2.812;8592;2.812;8603;2.9436;8623;3.183;8600;2.9077
XML100_2213_13;11931;12135;1.7098;12135;1.7098;12089;1.3243;12094;1.3662;12136;1.7182
XML100_2213_14;10760;10840;0.7435;10840;0.7435;10839;0.7342;10824;0.5948;10778;0.1673
XML100_2213_15;13602;13838;1.735;13838;1.735;13687;0.6249;13721;0.8749;13759;1.1542
XML100_2213_16;11845;11901;0.4728;11901;0.4728;11910;0.5488;11920;0.6332;11913;0.5741
XML100_2213_17;7766;7845;1.0173;7845;1.0173;7841;0.9657;7846;1.0301;7840;0.9529
XML100_2213_18;10322;10481;1.5404;10481;1.5404;10451;1.2498;10606;2.7514;10512;1.8407
XML100_2213_19;11795;11924;1.0937;11924;1.0937;11941;1.2378;11908;0.958;11880;0.7206
XML100_2213_20;11320;11565;2.1643;11565;2.1643;11587;2.3587;11605;2.5177;11545;1.9876
XML100_2213_21;9970;10026;0.5617;10026;0.5617;10021;0.5115;9983;0.1304;9986;0.1605
XML100_2213_23;8863;8985;1.3765;8985;1.3765;8922;0.6657;8927;0.7221;8952;1.0042
XML100_2213_25;10375;10486;1.0699;10486;1.0699;10511;1.3108;10512;1.3205;10464;0.8578
XML100_2213_26;10991;11113;1.11;11113;1.11;11073;0.7461;11126;1.2283;11075;0.7643
XML100_2213_27;10540;10571;0.2941;10571;0.2941;10577;0.351;10576;0.3416;10578;0.3605
XML100_2214_01;10601;10725;1.1697;10725;1.1697;10673;0.6792;10716;1.0848;10736;1.2735
XML100_2214_02;9558;9878;3.348;9878;3.348;9711;1.6008;9842;2.9713;9732;1.8205
XML100_2214_03;8293;8393;1.2058;8393;1.2058;8363;0.8441;8393;1.2058;8379;1.037
XML100_2214_04;9409;9672;2.7952;9672;2.7952;9641;2.4657;9659;2.657;9600;2.03
XML100_2214_07;8675;8768;1.072;8768;1.072;8759;0.9683;8795;1.3833;8754;0.9107
XML100_2231_01;26756;27608;3.1843;27608;3.1843;27892;4.2458;27959;4.4962;27683;3.4646
XML100_2231_14;20246;20447;0.9928;20447;0.9928;20400;0.7606;20429;0.9039;20414;0.8298
